Gene	Gene description	Concentration
HNRNPC	Heterogeneous nuclear ribonucleoprotein C (C1/C2)	1.4 µg/L
USP14	Ubiquitin specific peptidase 14	1.4 µg/L
CD33	CD33 molecule	1.4 µg/L
DCPS	"Decapping enzyme, scavenger"	1.4 µg/L
ALDH2	Aldehyde dehydrogenase 2 family (mitochondrial)	1.4 µg/L
SRSF7	Serine and arginine rich splicing factor 7	1.4 µg/L
SLITRK3	SLIT and NTRK like family member 3	1.4 µg/L
BHMT2	Betaine--homocysteine S-methyltransferase 2	1.4 µg/L
GRHPR	Glyoxylate and hydroxypyruvate reductase	1.4 µg/L
INHBE	Inhibin beta E subunit	1.4 µg/L
RGS10	Regulator of G protein signaling 10	1.4 µg/L
MCU	Mitochondrial calcium uniporter	1.4 µg/L
JAML	Junction adhesion molecule like	1.4 µg/L
FN3K	Fructosamine 3 kinase	1.4 µg/L
THOP1	Thimet oligopeptidase 1	1.4 µg/L
GNG5	G protein subunit gamma 5	1.4 µg/L
LRRN1	Leucine rich repeat neuronal 1	1.4 µg/L
RGMA	Repulsive guidance molecule BMP co-receptor a	1.4 µg/L
UBA7	Ubiquitin like modifier activating enzyme 7	1.4 µg/L
ABHD16A	Abhydrolase domain containing 16A	1.4 µg/L
PSMB10	Proteasome subunit beta 10	1.4 µg/L
ATP5MF	ATP synthase membrane subunit f	1.4 µg/L
UQCRC1	Ubiquinol-cytochrome c reductase core protein 1	1.3 µg/L
DCN	Decorin	1.3 µg/L
RTN4R	Reticulon 4 receptor	1.3 µg/L
PRKACA	Protein kinase cAMP-activated catalytic subunit alpha	1.3 µg/L
BAX	"BCL2 associated X, apoptosis regulator"	1.3 µg/L
WFDC2	WAP four-disulfide core domain 2	1.3 µg/L
P2RX1	Purinergic receptor P2X 1	1.3 µg/L
DUSP3	Dual specificity phosphatase 3	1.3 µg/L
MLEC	Malectin	1.3 µg/L
GDA	Guanine deaminase	1.3 µg/L
CBLN2	Cerebellin 2 precursor	1.3 µg/L
TNFRSF21	TNF receptor superfamily member 21	1.3 µg/L
GART	"Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"	1.3 µg/L
LEAP2	Liver enriched antimicrobial peptide 2	1.3 µg/L
VWCE	Von Willebrand factor C and EGF domains	1.3 µg/L
KRTAP4-4	Keratin associated protein 4-4	1.3 µg/L
DES	Desmin	1.3 µg/L
DPP7	Dipeptidyl peptidase 7	1.3 µg/L
KRTAP13-2	Keratin associated protein 13-2	1.3 µg/L
PCDH9	Protocadherin 9	1.3 µg/L
DPYD	Dihydropyrimidine dehydrogenase	1.3 µg/L
GSTK1	Glutathione S-transferase kappa 1	1.3 µg/L
MT-CO2	Mitochondrially encoded cytochrome c oxidase II	1.3 µg/L
IL10RB	Interleukin 10 receptor subunit beta	1.3 µg/L
ST6GALNAC1	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	1.2 µg/L
SEMA3A	Semaphorin 3A	1.2 µg/L
HEPH	Hephaestin	1.2 µg/L
LGMN	Legumain	1.2 µg/L
HMOX2	Heme oxygenase 2	1.2 µg/L
EBI3	Epstein-Barr virus induced 3	1.2 µg/L
TMEM248	Transmembrane protein 248	1.2 µg/L
MDK	Midkine	1.2 µg/L
CDH6	Cadherin 6	1.2 µg/L
ACADM	Acyl-CoA dehydrogenase medium chain	1.2 µg/L
MAN1C1	Mannosidase alpha class 1C member 1	1.2 µg/L
COX6B1	Cytochrome c oxidase subunit 6B1	1.2 µg/L
LAMA5	Laminin subunit alpha 5	1.2 µg/L
BIN1	Bridging integrator 1	1.2 µg/L
FAM129B	Family with sequence similarity 129 member B	1.2 µg/L
DOK2	Docking protein 2	1.2 µg/L
C16orf89	Chromosome 16 open reading frame 89	1.2 µg/L
ZG16B	Zymogen granule protein 16B	1.2 µg/L
S100P	S100 calcium binding protein P	1.2 µg/L
PA2G4	Proliferation-associated 2G4	1.2 µg/L
CES3	Carboxylesterase 3	1.2 µg/L
VMO1	Vitelline membrane outer layer 1 homolog	1.2 µg/L
NCCRP1	Non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	1.2 µg/L
ASAH2	N-acylsphingosine amidohydrolase 2	1.2 µg/L
PCDH18	Protocadherin 18	1.2 µg/L
SND1	Staphylococcal nuclease and tudor domain containing 1	1.2 µg/L
BPIFA1	BPI fold containing family A member 1	1.2 µg/L
APRT	Adenine phosphoribosyltransferase	1.2 µg/L
KRTAP4-2	Keratin associated protein 4-2	1.2 µg/L
ITGAL	Integrin subunit alpha L	1.1 µg/L
PAFAH1B1	Platelet activating factor acetylhydrolase 1b regulatory subunit 1	1.1 µg/L
PYCARD	PYD and CARD domain containing	1.1 µg/L
NNT	Nicotinamide nucleotide transhydrogenase	1.1 µg/L
TRAP1	TNF receptor associated protein 1	1.1 µg/L
PTPN12	"Protein tyrosine phosphatase, non-receptor type 12"	1.1 µg/L
LRRC4	Leucine rich repeat containing 4	1.1 µg/L
ILF3	Interleukin enhancer binding factor 3	1.1 µg/L
SRSF1	Serine and arginine rich splicing factor 1	1.1 µg/L
HINT2	Histidine triad nucleotide binding protein 2	1.1 µg/L
CLPS	Colipase	1.1 µg/L
HADHB	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	1.1 µg/L
MFGE8	Milk fat globule-EGF factor 8 protein	1.1 µg/L
ALDH9A1	Aldehyde dehydrogenase 9 family member A1	1.1 µg/L
PFKM	"Phosphofructokinase, muscle"	1.1 µg/L
SIGLEC7	Sialic acid binding Ig like lectin 7	1.1 µg/L
RPS9	Ribosomal protein S9	1.1 µg/L
EFEMP2	EGF containing fibulin extracellular matrix protein 2	1.1 µg/L
RAB37	"RAB37, member RAS oncogene family"	1.1 µg/L
SYCN	Syncollin	1.1 µg/L
MAN1A2	Mannosidase alpha class 1A member 2	1.1 µg/L
TAPBP	TAP binding protein	1.1 µg/L
PRKDC	"Protein kinase, DNA-activated, catalytic polypeptide"	1.1 µg/L
CACNA2D2	Calcium voltage-gated channel auxiliary subunit alpha2delta 2	1.0 µg/L
GCLM	Glutamate-cysteine ligase modifier subunit	1.0 µg/L
MAT2B	Methionine adenosyltransferase 2B	1.0 µg/L
TG	Thyroglobulin	1.0 µg/L
NDST1	N-deacetylase and N-sulfotransferase 1	1.0 µg/L
OXCT1	3-oxoacid CoA-transferase 1	1.0 µg/L
LRRFIP2	LRR binding FLII interacting protein 2	1.0 µg/L
AP1B1	Adaptor related protein complex 1 beta 1 subunit	1.0 µg/L
HPN	Hepsin	1.0 µg/L
VAT1	Vesicle amine transport 1	1.0 µg/L
RAB5B	"RAB5B, member RAS oncogene family"	1.0 µg/L
CLIC5	Chloride intracellular channel 5	1.0 µg/L
IL1R1	Interleukin 1 receptor type 1	1.0 µg/L
CD46	CD46 molecule	1.0 µg/L
RPLP1	Ribosomal protein lateral stalk subunit P1	1.0 µg/L
COX17	"COX17, cytochrome c oxidase copper chaperone"	1.0 µg/L
PTGR2	Prostaglandin reductase 2	1.0 µg/L
EIF4A2	Eukaryotic translation initiation factor 4A2	1.0 µg/L
AKR7A3	Aldo-keto reductase family 7 member A3	1.0 µg/L
SYK	Spleen associated tyrosine kinase	1.0 µg/L
CTNNB1	Catenin beta 1	1.0 µg/L
NPTX1	Neuronal pentraxin 1	1.0 µg/L
TBCA	Tubulin folding cofactor A	1.0 µg/L
RPS7	Ribosomal protein S7	1.0 µg/L
COPB2	Coatomer protein complex subunit beta 2	1.0 µg/L
EPHB4	EPH receptor B4	1.0 µg/L
GMFB	Glia maturation factor beta	1.0 µg/L
XYLT2	Xylosyltransferase 2	990 ng/L
MEP1A	Meprin A subunit alpha	990 ng/L
FAM49B	Family with sequence similarity 49 member B	990 ng/L
TFF1	Trefoil factor 1	990 ng/L
FKBP3	FK506 binding protein 3	980 ng/L
SEC22B	"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"	980 ng/L
CD209	CD209 molecule	970 ng/L
GNPDA1	Glucosamine-6-phosphate deaminase 1	970 ng/L
GNG11	G protein subunit gamma 11	970 ng/L
COX4I1	Cytochrome c oxidase subunit 4I1	970 ng/L
ANXA6	Annexin A6	970 ng/L
LY75	Lymphocyte antigen 75	960 ng/L
CLIP2	CAP-Gly domain containing linker protein 2	960 ng/L
NIT2	Nitrilase family member 2	960 ng/L
KLK7	Kallikrein related peptidase 7	960 ng/L
PRF1	Perforin 1	960 ng/L
SLC39A14	Solute carrier family 39 member 14	950 ng/L
PTPRZ1	"Protein tyrosine phosphatase, receptor type Z1"	950 ng/L
AHNAK	AHNAK nucleoprotein	950 ng/L
KLK8	Kallikrein related peptidase 8	950 ng/L
MAT2A	Methionine adenosyltransferase 2A	950 ng/L
MCFD2	Multiple coagulation factor deficiency 2	950 ng/L
SCARF1	Scavenger receptor class F member 1	940 ng/L
PTGR1	Prostaglandin reductase 1	940 ng/L
GNS	Glucosamine (N-acetyl)-6-sulfatase	940 ng/L
CCL18	C-C motif chemokine ligand 18	940 ng/L
AFP	Alpha fetoprotein	930 ng/L
C1QBP	Complement C1q binding protein	930 ng/L
CPD	Carboxypeptidase D	930 ng/L
ADGRE5	Adhesion G protein-coupled receptor E5	930 ng/L
PCYOX1L	Prenylcysteine oxidase 1 like	930 ng/L
GSTM2	Glutathione S-transferase mu 2	930 ng/L
ARHGAP6	Rho GTPase activating protein 6	920 ng/L
NSFL1C	NSFL1 cofactor	920 ng/L
SEMG2	Semenogelin II	920 ng/L
RAB5A	"RAB5A, member RAS oncogene family"	920 ng/L
GAS6	Growth arrest specific 6	920 ng/L
RANBP1	RAN binding protein 1	910 ng/L
GLA	Galactosidase alpha	910 ng/L
ALDH16A1	Aldehyde dehydrogenase 16 family member A1	910 ng/L
EEF1D	Eukaryotic translation elongation factor 1 delta	900 ng/L
TMOD1	Tropomodulin 1	900 ng/L
ITGAM	Integrin subunit alpha M	900 ng/L
ASPH	Aspartate beta-hydroxylase	900 ng/L
CASS4	Cas scaffolding protein family member 4	890 ng/L
CLEC4M	C-type lectin domain family 4 member M	890 ng/L
GCA	Grancalcin	890 ng/L
GDF15	Growth differentiation factor 15	890 ng/L
IQGAP1	IQ motif containing GTPase activating protein 1	890 ng/L
PLBD2	Phospholipase B domain containing 2	890 ng/L
BAG3	BCL2 associated athanogene 3	890 ng/L
LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	880 ng/L
SET	SET nuclear proto-oncogene	880 ng/L
LPL	Lipoprotein lipase	880 ng/L
YBX1	Y-box binding protein 1	870 ng/L
ACAT1	Acetyl-CoA acetyltransferase 1	870 ng/L
WBP2	WW domain binding protein 2	870 ng/L
KIAA0319L	KIAA0319 like	870 ng/L
PDXK	Pyridoxal kinase	870 ng/L
CD300LG	CD300 molecule like family member g	870 ng/L
RPS5	Ribosomal protein S5	860 ng/L
CYB5R1	Cytochrome b5 reductase 1	860 ng/L
STX7	Syntaxin 7	850 ng/L
PPM1A	"Protein phosphatase, Mg2+/Mn2+ dependent 1A"	850 ng/L
DDR2	Discoidin domain receptor tyrosine kinase 2	850 ng/L
SEMA4G	Semaphorin 4G	840 ng/L
SF3B1	Splicing factor 3b subunit 1	840 ng/L
ARHGAP18	Rho GTPase activating protein 18	840 ng/L
HNRNPU	Heterogeneous nuclear ribonucleoprotein U	840 ng/L
FUT11	Fucosyltransferase 11	840 ng/L
GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10	830 ng/L
RPL4	Ribosomal protein L4	830 ng/L
CRLF3	Cytokine receptor like factor 3	830 ng/L
USP5	Ubiquitin specific peptidase 5	820 ng/L
HSPH1	Heat shock protein family H (Hsp110) member 1	820 ng/L
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	820 ng/L
LECT2	Leukocyte cell derived chemotaxin 2	820 ng/L
NOTCH4	Notch 4	820 ng/L
LAMA3	Laminin subunit alpha 3	810 ng/L
THSD1	Thrombospondin type 1 domain containing 1	810 ng/L
NPM1	Nucleophosmin 1	810 ng/L
AOC1	"Amine oxidase, copper containing 1"	800 ng/L
DLST	Dihydrolipoamide S-succinyltransferase	800 ng/L
MMP19	Matrix metallopeptidase 19	800 ng/L
EFNB1	Ephrin B1	790 ng/L
UPB1	Beta-ureidopropionase 1	790 ng/L
CD99L2	CD99 molecule like 2	790 ng/L
ATP4A	ATPase H+/K+ transporting alpha subunit	790 ng/L
CPT1A	Carnitine palmitoyltransferase 1A	790 ng/L
TJP2	Tight junction protein 2	790 ng/L
CADM3	Cell adhesion molecule 3	790 ng/L
SDHA	Succinate dehydrogenase complex flavoprotein subunit A	780 ng/L
PPM1F	"Protein phosphatase, Mg2+/Mn2+ dependent 1F"	780 ng/L
HIBADH	3-hydroxyisobutyrate dehydrogenase	780 ng/L
CYB5A	Cytochrome b5 type A	780 ng/L
PHB2	Prohibitin 2	780 ng/L
ITGA7	Integrin subunit alpha 7	770 ng/L
ANGPTL2	Angiopoietin like 2	770 ng/L
CCL21	C-C motif chemokine ligand 21	770 ng/L
PLAUR	"Plasminogen activator, urokinase receptor"	760 ng/L
XPNPEP1	X-prolyl aminopeptidase 1	760 ng/L
EFNB2	Ephrin B2	760 ng/L
LTBP3	Latent transforming growth factor beta binding protein 3	760 ng/L
ITGAV	Integrin subunit alpha V	750 ng/L
DOK3	Docking protein 3	750 ng/L
MIA3	"MIA family member 3, ER export factor"	750 ng/L
GUCA2B	Guanylate cyclase activator 2B	740 ng/L
KHSRP	KH-type splicing regulatory protein	740 ng/L
DECR1	"2,4-dienoyl-CoA reductase 1"	740 ng/L
TMX1	Thioredoxin related transmembrane protein 1	740 ng/L
ANP32A	Acidic nuclear phosphoprotein 32 family member A	740 ng/L
SNX3	Sorting nexin 3	730 ng/L
SUMF2	Sulfatase modifying factor 2	730 ng/L
SERPINH1	Serpin family H member 1	730 ng/L
CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	730 ng/L
GOLIM4	Golgi integral membrane protein 4	730 ng/L
RPLP2	Ribosomal protein lateral stalk subunit P2	730 ng/L
CLDN5	Claudin 5	730 ng/L
HLA-DPB1	"Major histocompatibility complex, class II, DP beta 1"	730 ng/L
SDF4	Stromal cell derived factor 4	720 ng/L
DNASE2	"Deoxyribonuclease 2, lysosomal"	720 ng/L
PCDH12	Protocadherin 12	720 ng/L
EPHX2	Epoxide hydrolase 2	720 ng/L
RPL11	Ribosomal protein L11	720 ng/L
ATP5PF	ATP synthase peripheral stalk subunit F6	720 ng/L
CD1D	CD1d molecule	720 ng/L
COL11A2	Collagen type XI alpha 2 chain	720 ng/L
PLP2	Proteolipid protein 2	710 ng/L
GNPDA2	Glucosamine-6-phosphate deaminase 2	710 ng/L
RPSA	Ribosomal protein SA	710 ng/L
AARS	Alanyl-tRNA synthetase	700 ng/L
MESD	Mesoderm development LRP chaperone	690 ng/L
NAGK	N-acetylglucosamine kinase	690 ng/L
THBD	Thrombomodulin	690 ng/L
AP2B1	Adaptor related protein complex 2 beta 1 subunit	680 ng/L
PITHD1	PITH domain containing 1	680 ng/L
CAMK2B	Calcium/calmodulin dependent protein kinase II beta	680 ng/L
PDCD10	Programmed cell death 10	680 ng/L
MYOM3	Myomesin 3	680 ng/L
CD151	CD151 molecule (Raph blood group)	680 ng/L
FGFR3	Fibroblast growth factor receptor 3	670 ng/L
KLK10	Kallikrein related peptidase 10	670 ng/L
TFF2	Trefoil factor 2	670 ng/L
MZB1	Marginal zone B and B1 cell specific protein	670 ng/L
GARS	Glycyl-tRNA synthetase	660 ng/L
PEF1	Penta-EF-hand domain containing 1	660 ng/L
NUDT5	Nudix hydrolase 5	660 ng/L
GSTM4	Glutathione S-transferase mu 4	660 ng/L
ROBO2	Roundabout guidance receptor 2	660 ng/L
SERPINB5	Serpin family B member 5	660 ng/L
ACHE	Acetylcholinesterase (Cartwright blood group)	650 ng/L
DYNLL1	Dynein light chain LC8-type 1	650 ng/L
PPP1R7	Protein phosphatase 1 regulatory subunit 7	650 ng/L
FABP6	Fatty acid binding protein 6	650 ng/L
EMILIN3	Elastin microfibril interfacer 3	650 ng/L
ADA	Adenosine deaminase	650 ng/L
ETFB	Electron transfer flavoprotein beta subunit	640 ng/L
EEF1B2	Eukaryotic translation elongation factor 1 beta 2	640 ng/L
ATP5PB	ATP synthase peripheral stalk-membrane subunit b	640 ng/L
LRP11	LDL receptor related protein 11	640 ng/L
ALDH1L1	Aldehyde dehydrogenase 1 family member L1	640 ng/L
CYBB	Cytochrome b-245 beta chain	640 ng/L
ADAM9	ADAM metallopeptidase domain 9	640 ng/L
C11orf54	Chromosome 11 open reading frame 54	640 ng/L
TXNDC17	Thioredoxin domain containing 17	630 ng/L
GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	630 ng/L
OTUB1	"OTU deubiquitinase, ubiquitin aldehyde binding 1"	630 ng/L
SLAMF7	SLAM family member 7	620 ng/L
ADSS	Adenylosuccinate synthase	620 ng/L
CHRDL1	Chordin like 1	620 ng/L
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	620 ng/L
RTN3	Reticulon 3	620 ng/L
GATM	Glycine amidinotransferase	620 ng/L
NRXN1	Neurexin 1	620 ng/L
BTK	Bruton tyrosine kinase	610 ng/L
IFNAR2	Interferon alpha and beta receptor subunit 2	610 ng/L
PTMA	Prothymosin alpha	610 ng/L
TSTA3	Tissue specific transplantation antigen P35B	600 ng/L
ADGRD1	Adhesion G protein-coupled receptor D1	600 ng/L
SKP1	S-phase kinase associated protein 1	600 ng/L
NCL	Nucleolin	600 ng/L
NT5C	"5', 3'-nucleotidase, cytosolic"	600 ng/L
EMILIN2	Elastin microfibril interfacer 2	600 ng/L
MATN2	Matrilin 2	600 ng/L
SSR4	Signal sequence receptor subunit 4	600 ng/L
SLAMF1	Signaling lymphocytic activation molecule family member 1	590 ng/L
MUC5B	"Mucin 5B, oligomeric mucus/gel-forming"	590 ng/L
CMBL	Carboxymethylenebutenolidase homolog	590 ng/L
ATP5MG	ATP synthase membrane subunit g	590 ng/L
PAK2	P21 (RAC1) activated kinase 2	590 ng/L
KIRREL1	Kirre like nephrin family adhesion molecule 1	590 ng/L
FIS1	"Fission, mitochondrial 1"	590 ng/L
EHD2	EH domain containing 2	580 ng/L
ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	580 ng/L
PLXNA2	Plexin A2	580 ng/L
PTGES3	Prostaglandin E synthase 3	580 ng/L
ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"	580 ng/L
ADIRF	Adipogenesis regulatory factor	580 ng/L
EIF4E	Eukaryotic translation initiation factor 4E	580 ng/L
FTCD	Formimidoyltransferase cyclodeaminase	580 ng/L
MEGF6	Multiple EGF like domains 6	580 ng/L
ANXA4	Annexin A4	580 ng/L
GALM	Galactose mutarotase	570 ng/L
MMP14	Matrix metallopeptidase 14	570 ng/L
SERPINA12	Serpin family A member 12	570 ng/L
JAM3	Junctional adhesion molecule 3	570 ng/L
GLDC	Glycine decarboxylase	570 ng/L
COMT	Catechol-O-methyltransferase	560 ng/L
HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	560 ng/L
CEMIP	Cell migration inducing hyaluronan binding protein	560 ng/L
IMPAD1	Inositol monophosphatase domain containing 1	560 ng/L
GCNT2	"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"	560 ng/L
GSTM3	Glutathione S-transferase mu 3	560 ng/L
TGFBR2	Transforming growth factor beta receptor 2	560 ng/L
CHST15	Carbohydrate sulfotransferase 15	560 ng/L
PTPN18	"Protein tyrosine phosphatase, non-receptor type 18"	550 ng/L
MYRF	Myelin regulatory factor	550 ng/L
ANGPTL6	Angiopoietin like 6	550 ng/L
CAMK1	Calcium/calmodulin dependent protein kinase I	550 ng/L
HNRNPD	Heterogeneous nuclear ribonucleoprotein D	550 ng/L
CREG1	Cellular repressor of E1A stimulated genes 1	550 ng/L
COLEC12	Collectin subfamily member 12	550 ng/L
ANXA7	Annexin A7	540 ng/L
RPS14	Ribosomal protein S14	540 ng/L
MAN1B1	Mannosidase alpha class 1B member 1	540 ng/L
COL16A1	Collagen type XVI alpha 1 chain	530 ng/L
TNFSF13B	TNF superfamily member 13b	530 ng/L
SUSD1	Sushi domain containing 1	530 ng/L
ANXA11	Annexin A11	530 ng/L
CNPY3	Canopy FGF signaling regulator 3	530 ng/L
MAT1A	Methionine adenosyltransferase 1A	530 ng/L
NRXN3	Neurexin 3	520 ng/L
EMD	Emerin	520 ng/L
EIF4H	Eukaryotic translation initiation factor 4H	520 ng/L
LPP	LIM domain containing preferred translocation partner in lipoma	520 ng/L
RPL12	Ribosomal protein L12	520 ng/L
CPVL	"Carboxypeptidase, vitellogenic like"	510 ng/L
CHST3	Carbohydrate sulfotransferase 3	510 ng/L
UROC1	Urocanate hydratase 1	510 ng/L
HIST1H1B	Histone cluster 1 H1 family member b	510 ng/L
LRIG2	Leucine rich repeats and immunoglobulin like domains 2	510 ng/L
FGFR2	Fibroblast growth factor receptor 2	500 ng/L
DNM2	Dynamin 2	500 ng/L
CPSF6	Cleavage and polyadenylation specific factor 6	500 ng/L
FLG	Filaggrin	500 ng/L
CD8A	CD8a molecule	500 ng/L
CALML3	Calmodulin like 3	500 ng/L
RAB21	"RAB21, member RAS oncogene family"	490 ng/L
PLD3	Phospholipase D family member 3	490 ng/L
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	490 ng/L
UCHL3	Ubiquitin C-terminal hydrolase L3	490 ng/L
SIL1	SIL1 nucleotide exchange factor	490 ng/L
SERPINE2	Serpin family E member 2	490 ng/L
NBEAL2	Neurobeachin like 2	490 ng/L
SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide	490 ng/L
ANGPTL7	Angiopoietin like 7	490 ng/L
CRIP2	Cysteine rich protein 2	490 ng/L
COL6A6	Collagen type VI alpha 6 chain	490 ng/L
CHI3L2	Chitinase 3 like 2	480 ng/L
APLP2	Amyloid beta precursor like protein 2	480 ng/L
CPA4	Carboxypeptidase A4	480 ng/L
SEMA6D	Semaphorin 6D	480 ng/L
ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	480 ng/L
ADH6	Alcohol dehydrogenase 6 (class V)	480 ng/L
CCS	Copper chaperone for superoxide dismutase	480 ng/L
CPE	Carboxypeptidase E	470 ng/L
BAAT	Bile acid-CoA:amino acid N-acyltransferase	470 ng/L
SURF4	Surfeit 4	470 ng/L
WASF2	WAS protein family member 2	470 ng/L
LACRT	Lacritin	460 ng/L
CKAP5	Cytoskeleton associated protein 5	460 ng/L
FAS	Fas cell surface death receptor	450 ng/L
DAAM1	Dishevelled associated activator of morphogenesis 1	450 ng/L
ABHD11	Abhydrolase domain containing 11	450 ng/L
LDB3	LIM domain binding 3	450 ng/L
MTTP	Microsomal triglyceride transfer protein	450 ng/L
MXRA8	Matrix remodeling associated 8	450 ng/L
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	450 ng/L
PLEKHO2	Pleckstrin homology domain containing O2	450 ng/L
DNM1	Dynamin 1	440 ng/L
DMGDH	Dimethylglycine dehydrogenase	440 ng/L
FAM198A	Family with sequence similarity 198 member A	440 ng/L
UCHL1	Ubiquitin C-terminal hydrolase L1	440 ng/L
ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase 7	440 ng/L
PTP4A2	"Protein tyrosine phosphatase type IVA, member 2"	440 ng/L
PHPT1	Phosphohistidine phosphatase 1	430 ng/L
TGM1	Transglutaminase 1	430 ng/L
FBXO7	F-box protein 7	430 ng/L
CLN5	"CLN5, intracellular trafficking protein"	430 ng/L
POF1B	"POF1B, actin binding protein"	430 ng/L
CHST12	Carbohydrate sulfotransferase 12	430 ng/L
SORD	Sorbitol dehydrogenase	430 ng/L
ERBB2	Erb-b2 receptor tyrosine kinase 2	430 ng/L
SERBP1	SERPINE1 mRNA binding protein 1	430 ng/L
IGSF1	Immunoglobulin superfamily member 1	430 ng/L
RPS3	Ribosomal protein S3	430 ng/L
MMP1	Matrix metallopeptidase 1	430 ng/L
BGLAP	Bone gamma-carboxyglutamate protein	430 ng/L
ERBB3	Erb-b2 receptor tyrosine kinase 3	420 ng/L
PBLD	Phenazine biosynthesis like protein domain containing	420 ng/L
NOC2L	NOC2 like nucleolar associated transcriptional repressor	420 ng/L
SMIM1	Small integral membrane protein 1 (Vel blood group)	420 ng/L
PSMB9	Proteasome subunit beta 9	420 ng/L
EHD4	EH domain containing 4	410 ng/L
ASAH1	N-acylsphingosine amidohydrolase 1	410 ng/L
NAMPT	Nicotinamide phosphoribosyltransferase	410 ng/L
ECHDC2	Enoyl-CoA hydratase domain containing 2	410 ng/L
TPP2	Tripeptidyl peptidase 2	410 ng/L
AOX1	Aldehyde oxidase 1	410 ng/L
AMDHD1	Amidohydrolase domain containing 1	410 ng/L
TXNRD2	Thioredoxin reductase 2	410 ng/L
WISP2	WNT1 inducible signaling pathway protein 2	400 ng/L
COPB1	Coatomer protein complex subunit beta 1	400 ng/L
REG4	Regenerating family member 4	400 ng/L
ABI1	Abl interactor 1	400 ng/L
SRP14	Signal recognition particle 14	400 ng/L
ESM1	Endothelial cell specific molecule 1	400 ng/L
CASC4	Cancer susceptibility 4	400 ng/L
CD320	CD320 molecule	400 ng/L
SEMA4C	Semaphorin 4C	400 ng/L
FKBP2	FK506 binding protein 2	400 ng/L
KREMEN1	Kringle containing transmembrane protein 1	400 ng/L
APOBR	Apolipoprotein B receptor	400 ng/L
HBM	Hemoglobin subunit mu	400 ng/L
REXO2	RNA exonuclease 2	390 ng/L
CMTM6	CKLF like MARVEL transmembrane domain containing 6	390 ng/L
RGCC	Regulator of cell cycle	390 ng/L
LNPEP	Leucyl and cystinyl aminopeptidase	390 ng/L
CDH15	Cadherin 15	390 ng/L
IMPA1	Inositol monophosphatase 1	390 ng/L
CRK	"CRK proto-oncogene, adaptor protein"	390 ng/L
PIPOX	Pipecolic acid and sarcosine oxidase	390 ng/L
S100A3	S100 calcium binding protein A3	390 ng/L
KRTAP4-3	Keratin associated protein 4-3	390 ng/L
CPPED1	Calcineurin like phosphoesterase domain containing 1	380 ng/L
PSMD3	"Proteasome 26S subunit, non-ATPase 3"	380 ng/L
AMPD2	Adenosine monophosphate deaminase 2	380 ng/L
PCK1	Phosphoenolpyruvate carboxykinase 1	380 ng/L
NAPSA	Napsin A aspartic peptidase	380 ng/L
DDC	Dopa decarboxylase	380 ng/L
RGS18	Regulator of G protein signaling 18	380 ng/L
PGM5	Phosphoglucomutase 5	380 ng/L
UQCRB	Ubiquinol-cytochrome c reductase binding protein	380 ng/L
C1orf123	Chromosome 1 open reading frame 123	380 ng/L
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	380 ng/L
HMGB2	High mobility group box 2	380 ng/L
PSMD2	"Proteasome 26S subunit, non-ATPase 2"	380 ng/L
PTTG1IP	PTTG1 interacting protein	380 ng/L
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	380 ng/L
PAFAH1B3	Platelet activating factor acetylhydrolase 1b catalytic subunit 3	370 ng/L
PLOD3	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	370 ng/L
DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	370 ng/L
SCP2	Sterol carrier protein 2	370 ng/L
CXorf36	Chromosome X open reading frame 36	370 ng/L
LILRA5	Leukocyte immunoglobulin like receptor A5	370 ng/L
SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide	360 ng/L
VSIR	V-set immunoregulatory receptor	360 ng/L
KYNU	Kynureninase	360 ng/L
CACYBP	Calcyclin binding protein	360 ng/L
CMIP	C-Maf inducing protein	360 ng/L
GPC6	Glypican 6	360 ng/L
